Sentiment Category	  Total sentiment_results	  Average sentiment
    positive	                310	                 202,0966
    neutral	                   113	                     0
    negative	                22	                  -8,611



review_text,summary,cleaned_review,tokenized_review,sentiment_scores,compound_sentiment,sentiment_category
 though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, though the sizes tend to be bigger based on mens size i think  there wasnt a size chart to refer to when i was ordering,  sizes tend bigger based mens size think   nt size chart refer ordering,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Good product for the price.  Used very day and no problem.,  Five Stars,  good product for the price  used very day and no problem,   good product price   day problem,"{'neg': 0.321, 'neu': 0.498, 'pos': 0.181, 'compound': -0.3102}",-0.3102,negative
 reviewerName: Fhteacher, reviewText: Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price., reviewername fhteacher,  reviewername fhteacher,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Excellent value.  Comfortable.,  Excellent Product,  excellent value  comfortable,   excellent value   comfortable,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.8555}",0.8555,positive
  Typical Hanes quality. Good weight, sized just right,  typical hanes quality good weight,   typical hanes quality good weight,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
  The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.\n\nThat being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.,  Don't sweat the pants,  the waist string broke first time trying them on luckily i dont really need the wast string but it would be nice if it did not breaknnthat being said the pants fit as expected and are comfortable probably shop around next time i make a sweatpant purchase,   waist string broke time trying luckily nt need wast string nice breaknnthat said pants fit expected comfortable probably shop time sweatpant purchase,"{'neg': 0.035, 'neu': 0.716, 'pos': 0.249, 'compound': 0.9127}",0.9127,positive
  Fit perfectly. I bought dark grey, and they didn't fade,  fit perfectly i bought dark grey,   fit perfectly bought dark grey,"{'neg': 0.0, 'neu': 0.202, 'pos': 0.798, 'compound': 0.7845}",0.7845,positive
  They fit great. But they fade bad,  Three Stars,  they fit great but they fade bad,   fit great fade bad,"{'neg': 0.364, 'neu': 0.307, 'pos': 0.33, 'compound': -0.3506}",-0.3506,negative
  I only give four stars because the pants have no pockets.,  Four Stars,  i only give four stars because the pants have no pockets,   stars pants pockets,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
  Average product.  As described.,  Three Stars,  average product  as described,   average product   described,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  comfy fit,  Five Stars,  comfy fit,   comfy fit,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,positive
  Nice pants but too small for a medium. Return it.,  Returned also,  nice pants but too small for a medium return it,   nice pants small medium return,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.2263}",0.2263,positive
  Nice pants but too small for a medium. Returned it.,  Returned,  nice pants but too small for a medium returned it,   nice pants small medium returned,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.2263}",0.2263,positive
  Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!,  very comfy if they had pockets,   comfy pockets,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 my husband looked like he was wearing blown up clown pants.,  Was terribly disappointed, my husband looked like he was wearing blown up clown pants,  husband looked like wearing blown clown pants,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,positive
  As described.,  Three Stars,  as described,   described,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.,  love em,   love em,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
  Should have listened to other reviews. The elastics does not hold up.,  One Star,  should have listened to other reviews the elastics does not hold up,   listened reviews elastics hold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Constantly rolls down,  One Star,  constantly rolls down,   constantly rolls,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,  Great!!! Very high!,  superrrr thigh high im  and it easily reaches  up my thigh,   superrrr thigh high m   easily reaches   thigh,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.4912}",0.4912,positive
  I just wish they would not roll down.,  Cute but will roll,  i just wish they would not roll down,   wish roll,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,positive
  Sadly, not a true red. It's definitely orange,  sadly,   sadly,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
  Well made, soft,  well made,  ,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,positive
 although the quality is fine.,  Huh, although the quality is fine,  quality fine,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}",0.2023,positive
 particularly since I lose so many\nreading glasses.  some of the screws do require constant\ntightening.,  loose screws, particularly since i lose so manynreading glasses  some of the screws do require constantntightening,  particularly lose manynreading glasses   screws require constantntightening,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.6096}",-0.6096,negative
 I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!,  Good Value, i find this style more comfortable  these glasses are very nicecheaper than walmart,  find style comfortable   glasses nicecheaper walmart,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.5974}",0.5974,positive
 reviewerName: Amazon Customer, reviewText: Good light weight shoe...had to add insole for more support., reviewername amazon customer,  reviewername amazon customer,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.1779}",0.1779,positive
  I love my tennis shoes,  Five Stars,  i love my tennis shoes,   love tennis shoes,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,positive
 reviewerName: Micki from FL, reviewText: This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, reviewername micki from fl,  reviewername micki fl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.,  love it super comfortable and nice got more than i expected,   love super comfortable nice got expected,"{'neg': 0.0, 'neu': 0.281, 'pos': 0.719, 'compound': 0.9466}",0.9466,positive
  Excelente,  Five Stars,  excelente,   excelente,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again,  these shoes are poorly constructed and i dont expect them to last more that one summer  would not recommend,   shoes poorly constructed nt expect summer   recommend,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2755}",-0.2755,negative
  For the price I spent on the pair of shoes, I'd say it's as good as expected.\nIt's comfortable and doesn't hurt my feet when I run.,  for the price i spent on the pair of shoes,   price spent pair shoes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 reviewerName: Elizabeth Gravesen, reviewText: I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide., reviewername elizabeth gravesen,  reviewername elizabeth gravesen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Put them on and walked 3 hours with no problem! Love them! So light feeling,  Love them! So light feeling,  put them on and walked  hours with no problem love them so light feeling,   walked   hours problem love light feeling,"{'neg': 0.228, 'neu': 0.466, 'pos': 0.306, 'compound': 0.3944}",0.3944,positive
  Love these shoes!\nSo stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!,  love these shoesnso stylish and comfortable just got back from a trip to nyc,   love shoesnso stylish comfortable got trip nyc,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.8313}",0.8313,positive
  This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.,  this shoe is just ok its not as comfortable as i was expecting,   shoe ok comfortable expecting,"{'neg': 0.173, 'neu': 0.64, 'pos': 0.188, 'compound': 0.0595}",0.0595,positive
 reviewerName: Lenci, reviewText: Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money., reviewername lenci,  reviewername lenci,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,  The color pattern and fit is what I liked the most what I liked the least is that ...,  the color pattern and fit is what i liked the most what i liked the least is that they are not easy to clean and stains do not come out very easy or at all,   color pattern fit liked liked easy clean stains come easy,"{'neg': 0.168, 'neu': 0.64, 'pos': 0.192, 'compound': 0.257}",0.257,positive
  love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster,  love these shoes workout in them  times a week at the gym i do treadmill,   love shoes workout   times week gym treadmill,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6369}",0.6369,positive
  Great shoe. I've had Nike's before and have always been pleased with the comfort, performance,  great shoe ive had nikes before and have always been pleased with the comfort,   great shoe ve nikes pleased comfort,"{'neg': 0.0, 'neu': 0.537, 'pos': 0.463, 'compound': 0.8591}",0.8591,positive
  The material is real then hope they don't fall apart . to expensive for what you get.,  Three Stars,  the material is real then hope they dont fall apart  to expensive for what you get,   material real hope nt fall apart   expensive,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,positive
  Nice,  Three Stars,  nice,   nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,positive
  Gracias,  Five Stars,  gracias,   gracias,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,  Love these shoes,  love these shoes they are true to size and very comfortable this is my second pair  i wore out the first pair good arch support  i have a high arch,   love shoes true size comfortable second pair   wore pair good arch support   high arch,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.9543}",0.9543,positive
 reviewerName: Cynthia Foyer,  Five Stars, reviewername cynthia foyer,  reviewername cynthia foyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Great arch support and comfortable.,  Great cross trainer,  great arch support and comfortable,   great arch support comfortable,"{'neg': 0.0, 'neu': 0.165, 'pos': 0.835, 'compound': 0.8779}",0.8779,positive
  It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,  They are comfortable for the most but just a bit narrow,  it looks a bit nicer on the picture its very light in such a way that when i held the box i wondered if there was just paper filling inside they are comfortable for the most good looking training shoes overall,   looks bit nicer picture light way held box wondered paper filling inside comfortable good looking training shoes overall,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8553}",0.8553,positive
  second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,  staple sneakers,  second pair comfortable and great for people with bunion issues or previous surgeries  sole wears great,   second pair comfortable great people bunion issues previous surgeries   sole wears great,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.91}",0.91,positive
  My daughter loves these shoes. Fit true to size.,  Great looking shoe,  my daughter loves these shoes fit true to size,   daughter loves shoes fit true size,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.8402}",0.8402,positive
  Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,  Great shoes.,  purchased for my daughter for gym class  she loves them  very cute and very comfortable,   purchased daughter gym class   loves   cute comfortable,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.8906}",0.8906,positive
  Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,  Style 10/10,  great look but zero support inside the shoe had to buy expensive inserts to be wearable expected more from a nike shoe,   great look zero support inside shoe buy expensive inserts wearable expected nike shoe,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.7269}",0.7269,positive
 style: {Size::  9 B(M) US, Color::  Blue Tint/Green Glow/Hasta/White}, style size   bm us,  style size    bm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,  Great shoes. Fit perfectly,  great shoes fit perfectly comfortable right from the start light weight and perfect for a  hour work shift good price also,   great shoes fit perfectly comfortable right start light weight perfect   hour work shift good price,"{'neg': 0.0, 'neu': 0.42, 'pos': 0.58, 'compound': 0.967}",0.967,positive
  I love them! They fit perfect and are very comfortable!!,  Five Stars,  i love them they fit perfect and are very comfortable,   love fit perfect comfortable,"{'neg': 0.0, 'neu': 0.252, 'pos': 0.748, 'compound': 0.942}",0.942,positive
  Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,  Perfect. Lightweight and comfortable all day,  love these lightweight shoes absolute favorite always order half a size bigger with nike shoes than with every other shoe in my closet,   love lightweight shoes absolute favorite order half size bigger nike shoes shoe closet,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.8172}",0.8172,positive
  My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,  My knees feel better so so hard so good,  my knees were bothering me during hiit workouts so i  purchased these shoes after researching many styles  fit true to size and are lightweight  my knees feel better so so hard so good  they are cute in too,   knees bothering hiit workouts   purchased shoes researching styles   fit true size lightweight   knees feel better hard good   cute,"{'neg': 0.091, 'neu': 0.595, 'pos': 0.314, 'compound': 0.9059}",0.9059,positive
  Love the color!,  Five Stars,  love the color,   love color,"{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.6696}",0.6696,positive
  Comfortable athletic shoe,  good for the gym (ellipical,  comfortable athletic shoe,   comfortable athletic shoe,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,positive
  The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.,  the shoes fit perfectly and came within the time frame i was given  very comfortable,   shoes fit perfectly came time frame given   comfortable,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.8832}",0.8832,positive
  They looked very cheap,  Returned...looked cheap,  they looked very cheap,   looked cheap,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  The fit is as expected,  Fits to size,  the fit is as expected,   fit expected,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,positive
  Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,  Very comfortable shoes. This is my second pair of this ...,  very comfortable shoes this is my second pair of this style of shoe because i loved them that much,   comfortable shoes second pair style shoe loved,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8173}",0.8173,positive
  Comfortable, consistent each time I order and good looking,  comfortable,   comfortable,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",0.5106,positive
  I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,  I love the shoes and the description and photos were accurate,  i love the shoe and it fit as expected the photos and description are accurate if youre looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it i am very satisfied with this purchase,   love shoe fit expected photos description accurate looking shoe cushion support try different style far wanting lightweight breathable shoe satisfied purchase,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.8581}",0.8581,positive
 reviewerName: Brittany C., reviewText: These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!, reviewername brittany c,  reviewername brittany c,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I always order a 1/2 size up in workout shoes.,  Lightweight,  i always order a  size up in workout shoes,   order   size workout shoes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I wore these shoe one time, from the airport in Omaha,  i wore these shoe one time,   wore shoe time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,  Two Stars,  they run big and are super uncomfortable and the soles squeak they dont breathe at all,   run big super uncomfortable soles squeak nt breathe,"{'neg': 0.127, 'neu': 0.683, 'pos': 0.19, 'compound': 0.3182}",0.3182,positive
  Exactly what I expected! Comfortable and chic,  Comfortable and,  exactly what i expected comfortable and chic,   exactly expected comfortable chic,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.69}",0.69,positive
 reviewerName: Andrea L Hogan, reviewText: They were a gift  to my daughter she loved them, reviewername andrea l hogan,  reviewername andrea l hogan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love these comfy shoes. they fit like a glove.,  Five Stars,  love these comfy shoes they fit like a glove,   love comfy shoes fit like glove,"{'neg': 0.0, 'neu': 0.352, 'pos': 0.648, 'compound': 0.8481}",0.8481,positive
  Very confortable.,  Smooth and confortable.,  very confortable,   confortable,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  i love these shoes.,  Five Stars,  i love these shoes,   love shoes,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,positive
  Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.,  lightweight,   lightweight,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  daughter loves them,  Five Stars,  daughter loves them,   daughter loves,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,positive
  I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.,  i ordered a  size smaller than my usual size,   ordered   size smaller usual size,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Very good overall.\nNow Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.\nThese shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).\nIf you're a Go Walk fan,  very good overallnnow ive been a huge sketchers go walk fan for some time and the only reason i tried these instead of the latest number  of those is because the tread looked too slippery to menthese shoes are very sturdy and the grip of the soles has been very solid so far i use them for basic workout cardio and cross training,   good overallnnow ve huge sketchers walk fan time reason tried instead latest number   tread looked slippery menthese shoes sturdy grip soles solid far use basic workout cardio cross training,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.8396}",0.8396,positive
  Wife loves them!,  Five Stars,  wife loves them,   wife loves,"{'neg': 0.0, 'neu': 0.334, 'pos': 0.666, 'compound': 0.6114}",0.6114,positive
  These shoes are extremely comfortable, and fit as expected.  Will purchase again.,  these shoes are extremely comfortable,   shoes extremely comfortable,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.5563}",0.5563,positive
 reviewerName: sonia, reviewText: Artculo equivocado en color, reviewername sonia,  reviewername sonia,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 reviewerName: G.K. Hyder, reviewText: Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!, reviewername gk hyder,  reviewername gk hyder,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  On the left shoe, there were two stained yellow spots.,  on the left shoe,   left shoe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable,  i love these,   love,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,positive
  Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes,  super lightweight,   super lightweight,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,positive
  I Love it. It is very light and the color is great.,  Five Stars,  i love it it is very light and the color is great,   love light color great,"{'neg': 0.0, 'neu': 0.52, 'pos': 0.48, 'compound': 0.8519}",0.8519,positive
  My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.,  my wife loves these shoes we have both been wearing sketchers and new balance for several years and recently we have both purchased nike there is a reason why nike is still number  after all these years,   wife loves shoes wearing sketchers new balance years recently purchased nike reason nike number   years,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.6124}",0.6124,positive
 reviewerName: Kitten, reviewText: Absolutly love these shoes!! Beautiful color, reviewername kitten,  reviewername kitten,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later,  i loved these shoes when i got them ive noticed that the foam inside tends to compress during a workout,   loved shoes got ve noticed foam inside tends compress workout,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  She loves them,  Five Stars,  she loves them,   loves,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,positive
  These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.\n\nThe pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.\n\nOverall,  these are a bit longer than they should be i usually wear a  but could have easily ordered a  the width is accuratennthe pink is even pinker than shown and the light gray is over the very bright pink so it isnt as gray as shown in the picture it makes the shoe a bit overwhelming also two grommets on each shoe is dark im not referring to the dark grommets closer to the toe as shown in the photo,   bit longer usually wear   easily ordered   width accuratennthe pink pinker shown light gray bright pink nt gray shown picture makes shoe bit overwhelming grommets shoe dark m referring dark grommets closer toe shown photo,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.8121}",0.8121,positive
  great,  Five Stars,  great,   great,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,positive
  c,  Five Stars,  c,   c,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
  Love them!,  Five Stars,  love them,   love,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.6696}",0.6696,positive
  Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more \wiggle\ room in my footwear,  very nice shoe,   nice shoe,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",0.4754,positive
  Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.,  not sure why,   sure,"{'neg': 0.495, 'neu': 0.505, 'pos': 0.0, 'compound': -0.2411}",-0.2411,negative
  My New Gym shoes! Love them,  Love,  my new gym shoes love them,   new gym shoes love,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.6696}",0.6696,positive
  Perfect!,  Five Stars,  perfect,   perfect,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6114}",0.6114,positive
  I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,  TOO NARROW!,  i usually wear a size  and they fit fine these are way too narrow thought they might stretch out but they didnt had to give away,   usually wear size   fit fine way narrow thought stretch nt away,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.2846}",0.2846,positive
  Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9,  great shoe outside arch is kind of high,   great shoe outside arch kind high,"{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.6588}",0.6588,positive
